Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes (NB),0.7983,0.8010435002242874,0.7983,0.7985065260215685
Decision Tree (DT),0.653,0.6534258654373875,0.6529999999999999,0.6530765759083815
MLP,0.7831,0.783141912905252,0.7831,0.7825826515581589
CNN (VGG11),0.8223,0.8261308940638997,0.8223,0.823147410643623
